Temps réponse,Compte
96.0,grape-bot
92.0,grape-bot
98.0,grape-bot
321.0,grape-bot
90.0,grape-bot
155.0,grape-bot
144.0,grape-bot
55.0,grape-bot
54.0,grape-bot
206.0,grape-bot
56.0,grape-bot
261.0,grape-bot
75.0,grape-bot
55.0,grape-bot
77.0,grape-bot
58.0,grape-bot
80.0,grape-bot
76.0,grape-bot
143.0,grape-bot
284.0,grape-bot
79.0,grape-bot
0.0,grape-bot
83.0,grape-bot
138.0,grape-bot
371.0,grape-bot
161.0,grape-bot
52.0,grape-bot
57.0,grape-bot
340.0,grape-bot
68.0,grape-bot
91.0,grape-bot
94.0,grape-bot
0.0,grape-bot
76.0,grape-bot
91.0,grape-bot
78.0,grape-bot
170.0,grape-bot
212.0,grape-bot
69.0,grape-bot
73.0,grape-bot
345.0,grape-bot
239.0,grape-bot
83.0,grape-bot
90.0,grape-bot
75.0,grape-bot
78.0,grape-bot
0.0,grape-bot
70.0,grape-bot
122.0,grape-bot
94.0,grape-bot
100.0,grape-bot
95.0,grape-bot
79.0,grape-bot
80.0,grape-bot
69.0,grape-bot
142.0,grape-bot
1.0,grape-bot
109.0,grape-bot
111.0,grape-bot
167.0,grape-bot
78.0,grape-bot
110.0,grape-bot
95.0,grape-bot
0.0,grape-bot
91.0,grape-bot
76.0,grape-bot
79.0,grape-bot
77.0,grape-bot
84.0,grape-bot
95.0,grape-bot
91.0,grape-bot
0.0,grape-bot
63.0,grape-bot
84.0,grape-bot
77.0,grape-bot
0.0,grape-bot
75.0,grape-bot
81.0,grape-bot
0.0,grape-bot
0.0,grape-bot
0.0,grape-bot
0.0,grape-bot
229.0,grape-bot
43.0,grape-bot
0.0,grape-bot
0.0,grape-bot
92557.0,drewsonne
92551.0,drewsonne
160.0,drewsonne
446647.0,drewsonne
645411.0,drewsonne
84.0,drewsonne
361271.0,drewsonne
45624.0,drewsonne
7800.0,drewsonne
315930.0,drewsonne
6122.0,drewsonne
121.0,drewsonne
46492.0,drewsonne
3731.0,drewsonne
187999.0,drewsonne
732059.0,drewsonne
8328.0,drewsonne
33709.0,drewsonne
380651.0,drewsonne
6103.0,drewsonne
899.0,drewsonne
75073.0,drewsonne
15127.0,drewsonne
125787.0,drewsonne
66828.0,drewsonne
577.0,drewsonne
84913.0,drewsonne
201127.0,drewsonne
328692.0,drewsonne
157906.0,drewsonne
129.0,drewsonne
17643.0,drewsonne
65062.0,drewsonne
