Account,Date account,Type,Nbr Commit,Nbr com commit,Nbr PR,Nbr com PR,empty com,Nbr issues,Nbr com issues,empty com,Nbr review,Nbr com review
CLAassistant,,Bot,0,0,0,9,,0,0,0,,
manifold-listbot,,Bot,0,0,0,72,,0,0,0,,
enmand,,Human,137,0,49,19,11,0,1,0,4,14
ianlivingstone,,Human,41,0,17,,,0,0,0,,
jbowes,,Human,43,0,18,6,2,0,0,0,1,2
jeffandersen,,Human,125,0,48,17,2,1,2,0,24,36
louisbranch,,Human,98,0,74,33,7,0,2,0,4,13
tim-speed,,Human,25,0,14,26,1,0,0,0,16,26
,,,,,,,,,,,,
,,,,,,,,,,,,
PULL REQUESTS PAGE 4,,,,,,,,,,,,
